est_rank,rank,model,vendor,series,score,theta_est,theta,se,ci_lo,ci_hi,n_obs,basis,method,series_used,flags,release_date
70,70,MiMo-VL-7B,Xiaomi,MiMo series,5149,1.149,1.149,0.869,-0.603,2.764,0,series_prior,series prior mean of MiMo series (no observation for this model),MiMo series,no_observations|wide_ci,2025/05/30
128,128,Grok 2 Vision,xAI,Grok series,4818,0.818,0.818,0.87,-0.995,2.413,0,series_prior,series prior mean of Grok series (no observation for this model),Grok series,no_observations|wide_ci,2025/08/22
129,129,Grok 2.5,xAI,Grok series,4818,0.818,0.818,0.809,-0.886,2.364,0,series_prior,series prior mean of Grok series (no observation for this model),Grok series,no_observations|wide_ci,2025/08/22
142,142,Step-1V,StepFun,Step series,4676,0.676,0.676,0.839,-1.067,2.236,0,series_prior,series prior mean of Step series (no observation for this model),Step series,no_observations|wide_ci,2024/03/23
148,148,Claude 1.0,Anthropic,Claude series,4620,0.62,0.62,0.771,-0.963,1.942,0,series_prior,series prior mean of Claude series (no observation for this model),Claude series,no_observations|wide_ci,2023/03/14
149,149,Claude 1.1,Anthropic,Claude series,4620,0.62,0.62,0.801,-1.053,2.039,0,series_prior,series prior mean of Claude series (no observation for this model),Claude series,no_observations|wide_ci,2023/03/14
150,150,Claude 1.2,Anthropic,Claude series,4620,0.62,0.62,0.804,-0.79,2.248,0,series_prior,series prior mean of Claude series (no observation for this model),Claude series,no_observations|wide_ci,2023/05/11
159,159,Hunyuan-Pro,Tencent,Hy series (Hunyuan / Tencent Hy),4577,0.577,0.577,0.866,-1.245,2.25,0,series_prior,series prior mean of Hy series (Hunyuan / Tencent Hy) (no observation for this model),Hy series (Hunyuan / Tencent Hy),no_observations|wide_ci,2024/05/17
160,160,Hunyuan-Role,Tencent,Hy series (Hunyuan / Tencent Hy),4577,0.577,0.577,0.905,-1.215,2.378,0,series_prior,series prior mean of Hy series (Hunyuan / Tencent Hy) (no observation for this model),Hy series (Hunyuan / Tencent Hy),no_observations|wide_ci,2024/07/04
161,161,Tencent HY 2.0 Instruct,Tencent,Hy series (Hunyuan / Tencent Hy),4577,0.577,0.577,0.898,-1.077,2.214,0,series_prior,series prior mean of Hy series (Hunyuan / Tencent Hy) (no observation for this model),Hy series (Hunyuan / Tencent Hy),no_observations|wide_ci,2025/12/05
162,162,Tencent HY 2.0 Think,Tencent,Hy series (Hunyuan / Tencent Hy),4577,0.577,0.577,0.873,-0.96,2.221,0,series_prior,series prior mean of Hy series (Hunyuan / Tencent Hy) (no observation for this model),Hy series (Hunyuan / Tencent Hy),no_observations|wide_ci,2025/12/05
164,164,Daybreak Blue,OpenAI,GPT series,4564,0.564,0.564,0.759,-1.032,1.946,0,series_prior,series prior mean of GPT series (no observation for this model),GPT series,no_observations|wide_ci,2026/08/10
165,165,Daybreak Red,OpenAI,GPT series,4564,0.564,0.564,0.826,-0.947,2.183,0,series_prior,series prior mean of GPT series (no observation for this model),GPT series,no_observations|wide_ci,2026/08/10
166,166,GPT-1,OpenAI,GPT series,4564,0.564,0.564,0.84,-1.092,2.178,0,series_prior,series prior mean of GPT series (no observation for this model),GPT series,no_observations|wide_ci,2018/06/11
167,167,GPT-2,OpenAI,GPT series,4564,0.564,0.564,0.816,-1.025,2.143,0,series_prior,series prior mean of GPT series (no observation for this model),GPT series,no_observations|wide_ci,2019/02/14
168,168,GPT-4-32k,OpenAI,GPT series,4564,0.564,0.564,0.758,-0.84,1.993,0,series_prior,series prior mean of GPT series (no observation for this model),GPT series,no_observations|wide_ci,
169,169,GPT-5.6 Cyber,OpenAI,GPT series,4564,0.564,0.564,0.744,-0.897,1.985,0,series_prior,series prior mean of GPT series (no observation for this model),GPT series,no_observations|wide_ci,2026/08/10
178,178,Qwen-VL,Alibaba,Qwen series,4506,0.506,0.506,0.805,-1.036,2.152,0,series_prior,series prior mean of Qwen series (no observation for this model),Qwen series,no_observations|wide_ci,2023/08/18
179,179,Qwen-VL-Max,Alibaba,Qwen series,4506,0.506,0.506,0.81,-1.053,1.953,0,series_prior,series prior mean of Qwen series (no observation for this model),Qwen series,no_observations|wide_ci,2023/08/18
180,180,Qwen3-Coder-Plus,Alibaba,Qwen series,4506,0.506,0.506,0.807,-1.158,2.053,0,series_prior,series prior mean of Qwen series (no observation for this model),Qwen series,no_observations|wide_ci,2025/09/23
198,198,gpt-oss-safeguard-120b,OpenAI,GPT-OSS series,4418,0.418,0.418,0.798,-1.098,2.037,0,series_prior,series prior mean of GPT-OSS series (no observation for this model),GPT-OSS series,no_observations|wide_ci,2025/09/18
199,199,gpt-oss-safeguard-20b,OpenAI,GPT-OSS series,4418,0.418,0.418,0.856,-1.309,2.057,0,series_prior,series prior mean of GPT-OSS series (no observation for this model),GPT-OSS series,no_observations|wide_ci,2025/10/29
200,200,DeepSeek-Math 7B,DeepSeek,DeepSeek series,4412,0.412,0.412,0.804,-1.087,1.96,0,series_prior,series prior mean of DeepSeek series (no observation for this model),DeepSeek series,no_observations|wide_ci,2024/02/05
201,201,DeepSeek-Math-V2,DeepSeek,DeepSeek series,4412,0.412,0.412,0.792,-1.143,1.884,0,series_prior,series prior mean of DeepSeek series (no observation for this model),DeepSeek series,no_observations|wide_ci,2025/11/27
202,202,DeepSeek-Prover-V1.5,DeepSeek,DeepSeek series,4412,0.412,0.412,0.807,-1.213,1.97,0,series_prior,series prior mean of DeepSeek series (no observation for this model),DeepSeek series,no_observations|wide_ci,2024/08/15
203,203,DeepSeek-Prover-V2-671B,DeepSeek,DeepSeek series,4412,0.412,0.412,0.817,-1.252,2.01,0,series_prior,series prior mean of DeepSeek series (no observation for this model),DeepSeek series,no_observations|wide_ci,2025/04/30
237,237,Seed Diffusion Preview,ByteDance,Seed series,4163,0.163,0.163,0.822,-1.345,1.825,0,series_prior,series prior mean of Seed series (no observation for this model),Seed series,no_observations|wide_ci,2025/08/04
242,242,Jamba 2 Mini,AI21 Labs,,4142,0.142,0.142,0.766,-1.427,1.717,0,series_prior,series prior mean of unassigned series (no observation for this model),,no_observations|wide_ci,2026/01/06
243,243,MAI-1-preview,Microsoft,MAI series,4142,0.142,0.142,0.784,-1.311,1.721,0,series_prior,series prior mean of MAI series (no observation for this model),MAI series,no_observations|wide_ci,2025/08/25
244,244,MAI-Code-1.1-Flash,Microsoft,MAI Code series,4142,0.142,0.142,0.799,-1.373,1.775,0,series_prior,series prior mean of MAI Code series (no observation for this model),MAI Code series,no_observations|wide_ci,2026/08/11
245,245,Manus 1.5,Manus,Manus series,4142,0.142,0.142,0.775,-1.361,1.665,0,series_prior,series prior mean of Manus series (no observation for this model),Manus series,no_observations|wide_ci,2025/10/16
246,246,Manus 1.6,Manus,Manus series,4142,0.142,0.142,0.802,-1.387,1.684,0,series_prior,series prior mean of Manus series (no observation for this model),Manus series,no_observations|wide_ci,2025/12/15
247,247,Manus 1.6 Lite,Manus,Manus series,4142,0.142,0.142,0.845,-1.527,1.722,0,series_prior,series prior mean of Manus series (no observation for this model),Manus series,no_observations|wide_ci,
248,248,Manus 1.6 Max,Manus,Manus series,4142,0.142,0.142,0.795,-1.45,1.8,0,series_prior,series prior mean of Manus series (no observation for this model),Manus series,no_observations|wide_ci,2025/12/15
249,249,SWE-1.5,Cognition,SWE series,4142,0.142,0.142,0.823,-1.577,1.826,0,series_prior,series prior mean of SWE series (no observation for this model),SWE series,no_observations|wide_ci,2025/10/29
250,250,Yi-Large-Turbo,01.AI,Yi series,4142,0.142,0.142,0.809,-1.369,1.755,0,series_prior,series prior mean of Yi series (no observation for this model),Yi series,no_observations|wide_ci,2024/08/02
251,251,Yi-Medium,01.AI,Yi series,4142,0.142,0.142,0.796,-1.414,1.636,0,series_prior,series prior mean of Yi series (no observation for this model),Yi series,no_observations|wide_ci,2024/05/13
259,259,ERNIE 4.0,Baidu,ERNIE series,4039,0.039,0.039,0.783,-1.552,1.454,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2023/10/17
260,260,ERNIE 4.5 Turbo,Baidu,ERNIE series,4039,0.039,0.039,0.816,-1.543,1.622,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2025/04/25
261,261,ERNIE 4.5 VL-28B-A3B,Baidu,ERNIE series,4039,0.039,0.039,0.832,-1.603,1.812,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2025/06/28
262,262,ERNIE 4.5 VL-424B-A47B,Baidu,ERNIE series,4039,0.039,0.039,0.797,-1.433,1.496,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2025/06/30
263,263,ERNIE Lite,Baidu,ERNIE series,4039,0.039,0.039,0.826,-1.583,1.588,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2024/03/21
264,264,ERNIE Speed,Baidu,ERNIE series,4039,0.039,0.039,0.853,-1.674,1.64,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2024/03/21
265,265,ERNIE Tiny,Baidu,ERNIE series,4039,0.039,0.039,0.799,-1.447,1.631,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2024/03/21
266,266,ERNIE X1,Baidu,ERNIE series,4039,0.039,0.039,0.805,-1.622,1.594,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2025/03/16
267,267,ERNIE X1 Turbo,Baidu,ERNIE series,4039,0.039,0.039,0.83,-1.557,1.812,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2025/04/25
268,268,ERNIE X1.1,Baidu,ERNIE series,4039,0.039,0.039,0.832,-1.583,1.575,0,series_prior,series prior mean of ERNIE series (no observation for this model),ERNIE series,no_observations|wide_ci,2025/09/09
330,330,Leanstral,Mistral AI,Ministral and other series,3616,-0.384,-0.384,0.779,-1.934,0.983,0,series_prior,series prior mean of Ministral and other series (no observation for this model),Ministral and other series,no_observations|wide_ci,2026/03/11
331,331,Leanstral 1.5,Mistral AI,Ministral and other series,3616,-0.384,-0.384,0.783,-1.98,1.13,0,series_prior,series prior mean of Ministral and other series (no observation for this model),Ministral and other series,no_observations|wide_ci,2026/07/01
332,332,Mathstral 7B,Mistral AI,Ministral and other series,3616,-0.384,-0.384,0.814,-2.065,1.384,0,series_prior,series prior mean of Ministral and other series (no observation for this model),Ministral and other series,no_observations|wide_ci,2024/07/16
333,333,Shieldstral 1.0,Mistral AI,Ministral and other series,3616,-0.384,-0.384,0.782,-1.916,1.299,0,series_prior,series prior mean of Ministral and other series (no observation for this model),Ministral and other series,no_observations|wide_ci,2026/07/16
372,372,Aya Vision,Cohere,Command and other series,3407,-0.593,-0.593,0.79,-2.147,0.919,0,series_prior,series prior mean of Command and other series (no observation for this model),Command and other series,no_observations|wide_ci,2025/03/02
373,373,Command A Translate,Cohere,Command and other series,3407,-0.593,-0.593,0.792,-2.095,1.063,0,series_prior,series prior mean of Command and other series (no observation for this model),Command and other series,no_observations|wide_ci,2025/08/27
374,374,Command A Vision,Cohere,Command and other series,3407,-0.593,-0.593,0.87,-2.355,0.989,0,series_prior,series prior mean of Command and other series (no observation for this model),Command and other series,no_observations|wide_ci,2025/07/28
375,375,North Micro Vision Instruct,Cohere,Command and other series,3407,-0.593,-0.593,0.792,-2.103,0.806,0,series_prior,series prior mean of Command and other series (no observation for this model),Command and other series,no_observations|wide_ci,2026/08/10
377,377,Sonar Deep Research,Perplexity,Sonar series,3399,-0.601,-0.601,0.808,-2.024,1.015,0,series_prior,series prior mean of Sonar series (no observation for this model),Sonar series,no_observations|wide_ci,2025/03/07
393,393,Granite Vision 4.1 4B,IBM,Granite series,3292,-0.708,-0.708,0.798,-2.258,0.948,0,series_prior,series prior mean of Granite series (no observation for this model),Granite series,no_observations|wide_ci,2026/04/16
407,407,Mistral Next,Mistral AI,Mistral series,3170,-0.83,-0.83,0.858,-2.554,0.886,0,series_prior,series prior mean of Mistral series (no observation for this model),Mistral series,no_observations|wide_ci,2024/02/26
408,408,Mistral Small Creative,Mistral AI,Mistral series,3170,-0.83,-0.83,0.839,-2.429,0.893,0,series_prior,series prior mean of Mistral series (no observation for this model),Mistral series,no_observations|wide_ci,2025/12/16
438,438,OLMo 2 1B,Allen Institute for AI,OLMo series,2937,-1.063,-1.063,0.751,-2.658,0.359,0,series_prior,series prior mean of OLMo series (no observation for this model),OLMo series,no_observations|wide_ci,2025/04/17
439,439,OLMo RL Zero 7B Code,Allen Institute for AI,OLMo series,2937,-1.063,-1.063,0.826,-2.767,0.688,0,series_prior,series prior mean of OLMo series (no observation for this model),OLMo series,no_observations|wide_ci,2025/11/17
440,440,OLMo RL Zero 7B Math,Allen Institute for AI,OLMo series,2937,-1.063,-1.063,0.786,-2.546,0.486,0,series_prior,series prior mean of OLMo series (no observation for this model),OLMo series,no_observations|wide_ci,2025/11/17
455,455,LFM2-Audio-1.5B,Liquid AI,LFM series,2882,-1.118,-1.118,0.812,-2.656,0.344,0,series_prior,series prior mean of LFM series (no observation for this model),LFM series,no_observations|wide_ci,2025/08/28
456,456,LFM2-VL-1.6B,Liquid AI,LFM series,2882,-1.118,-1.118,0.77,-2.582,0.336,0,series_prior,series prior mean of LFM series (no observation for this model),LFM series,no_observations|wide_ci,2025/08/12
457,457,LFM2.5-1.2B-JP,Liquid AI,LFM series,2882,-1.118,-1.118,0.835,-2.666,0.395,0,series_prior,series prior mean of LFM series (no observation for this model),LFM series,no_observations|wide_ci,2026/01/04
458,458,LFM2.5-Audio-1.5B,Liquid AI,LFM series,2882,-1.118,-1.118,0.82,-2.854,0.361,0,series_prior,series prior mean of LFM series (no observation for this model),LFM series,no_observations|wide_ci,2025/12/18
497,497,Phi-3-vision,Microsoft,Phi series,2633,-1.367,-1.367,0.816,-2.977,0.287,0,series_prior,series prior mean of Phi series (no observation for this model),Phi series,no_observations|wide_ci,2024/05/19
498,498,Phi-3.5-vision,Microsoft,Phi series,2633,-1.367,-1.367,0.774,-2.88,0.28,0,series_prior,series prior mean of Phi series (no observation for this model),Phi series,no_observations|wide_ci,2024/08/16
499,499,Phi-4-reasoning-vision-15B,Microsoft,Phi series,2633,-1.367,-1.367,0.796,-2.95,0.176,0,series_prior,series prior mean of Phi series (no observation for this model),Phi series,no_observations|wide_ci,2026/03/04
500,500,Jamba 2 3B,AI21 Labs,Jamba series,2625,-1.375,-1.375,0.813,-2.996,0.233,0,series_prior,series prior mean of Jamba series (no observation for this model),Jamba series,no_observations|wide_ci,2026/01/06
501,501,Jamba Instruct,AI21 Labs,Jamba series,2625,-1.375,-1.375,0.833,-2.921,0.23,0,series_prior,series prior mean of Jamba series (no observation for this model),Jamba series,no_observations|wide_ci,2024/05/02
